To	From
ENSG00000106415	GLCCI1
ENSG00000105855	ITGB8
ENSG00000105866	SP4
ENSG00000164649	CDCA7L
ENSG00000136235	GPNMB
ENSG00000105926	MPP6
ENSG00000086300	SNX10
ENSG00000153814	JAZF1
ENSG00000122643	NT5C3A
ENSG00000164610	RP9
ENSG00000122507	BBS9
ENSG00000241127	YAE1D1
ENSG00000122641	INHBA
ENSG00000164543	STK17A
ENSG00000106603	COA1
ENSG00000106608	URGCP
ENSG00000122678	POLM
ENSG00000136286	MYO1G
ENSG00000132436	FIGNL1
ENSG00000173041	ZNF680
ENSG00000196247	ZNF107
ENSG00000197008	ZNF138
ENSG00000198039	ZNF273
ENSG00000213462	ERV3-1
ENSG00000146757	ZNF92
ENSG00000237310	GS1-124K5.4
ENSG00000273448	RP11-166O4.6
ENSG00000158321	AUTS2
ENSG00000158517	NCF1
ENSG00000196275	GTF2IRD2
ENSG00000174428	GTF2IRD2B
ENSG00000178809	TRIM73
ENSG00000106178	CCL24
ENSG00000146707	POMZP3
ENSG00000135205	CCDC146
ENSG00000127951	FGL2
ENSG00000135218	CD36
ENSG00000182165	TP53TG1
ENSG00000005469	CROT
ENSG00000085563	ABCB1
ENSG00000105793	GTPBP10
ENSG00000127980	PEX1
ENSG00000127993	RBM48
ENSG00000105810	CDK6
ENSG00000205413	SAMD9
ENSG00000177409	SAMD9L
ENSG00000127920	GNG11
ENSG00000070669	ASNS
ENSG00000164713	BRI3
ENSG00000221909	FAM200A
ENSG00000197037	ZSCAN25
ENSG00000106258	CYP3A5
ENSG00000166526	ZNF3
ENSG00000166508	MCM7
ENSG00000166997	CNPY4
ENSG00000213420	GPC2
ENSG00000066923	STAG3
ENSG00000121716	PILRB
ENSG00000078487	ZCWPW1
ENSG00000146834	MEPCE
ENSG00000160813	PPP1R35
ENSG00000106366	SERPINE1
ENSG00000106404	CLDN15
ENSG00000128581	RABL5
ENSG00000160991	ORAI2
ENSG00000161048	NAPEPLD
ENSG00000239569	KMT2E-AS1
ENSG00000105835	NAMPT
ENSG00000105851	PIK3CG
ENSG00000105865	DUS4L
ENSG00000184903	IMMP2L
ENSG00000173114	LRRN3
ENSG00000135269	TES
ENSG00000273270	RP11-212P7.2
ENSG00000273329	RP11-448A19.1
ENSG00000106459	NRF1
ENSG00000233559	AC016831.7
ENSG00000226380	MIR29A
ENSG00000271204	RP11-138A9.1
ENSG00000273319	RP11-138A9.2
ENSG00000231721	LINC-PINT
ENSG00000146859	TMEM140
ENSG00000105939	ZC3HAV1
ENSG00000260231	JHDM1D-AS1
ENSG00000157800	SLC37A3
ENSG00000157764	BRAF
ENSG00000006530	AGK
ENSG00000244701	RP5-894A10.2
ENSG00000257093	KIAA1147
ENSG00000258227	CLEC5A
ENSG00000106123	EPHB6
ENSG00000229153	EPHA1-AS1
ENSG00000170379	FAM115C
ENSG00000197362	ZNF786
ENSG00000171130	ATP6V0E2
ENSG00000127399	LRRC61
ENSG00000196456	ZNF775
ENSG00000242258	LINC00996
ENSG00000179144	GIMAP7
ENSG00000133561	GIMAP6
ENSG00000106560	GIMAP2
ENSG00000213203	GIMAP1
ENSG00000196329	GIMAP5
ENSG00000106565	TMEM176B
ENSG00000002933	TMEM176A
ENSG00000082014	SMARCD3
ENSG00000013374	NUB1
ENSG00000214106	PAXIP1-AS2
ENSG00000272760	RP11-5C23.1
ENSG00000273344	PAXIP1-AS1
ENSG00000186480	INSIG1
ENSG00000216895	AC009403.2
ENSG00000126870	WDR60
ENSG00000226179	LINC00685
ENSG00000198223	CSF2RA
ENSG00000185291	IL3RA
ENSG00000182162	P2RY8
ENSG00000205542	TMSB4X
ENSG00000235385	GS1-600G8.5
ENSG00000123595	RAB9A
ENSG00000196459	TRAPPC2
ENSG00000046651	OFD1
ENSG00000046653	GPM6B
ENSG00000181544	FANCB
ENSG00000169239	CA5B
ENSG00000169891	REPS2
ENSG00000130066	SAT1
ENSG00000174010	KLHL15
ENSG00000198814	GK
ENSG00000165168	CYBB
ENSG00000182220	ATP6AP2
ENSG00000147044	CASK
ENSG00000147121	KRBOX4
ENSG00000102265	TIMP1
ENSG00000126759	CFP
ENSG00000102312	PORCN
ENSG00000068354	TBC1D25
ENSG00000102109	PCSK1N
ENSG00000102096	PIM2
ENSG00000243279	PRAF2
ENSG00000189369	GSPT2
ENSG00000184205	TSPYL2
ENSG00000270189	RP11-258C19.7
ENSG00000102316	MAGED2
ENSG00000187601	MAGEH1
ENSG00000227486	RP13-188A5.1
ENSG00000186787	SPIN2B
ENSG00000131089	ARHGEF9
ENSG00000155659	VSIG4
ENSG00000184481	FOXO4
ENSG00000147162	OGT
ENSG00000186810	CXCR3
ENSG00000198034	RPS4X
ENSG00000187325	TAF9B
ENSG00000078589	P2RY10
ENSG00000078596	ITM2A
ENSG00000198157	HMGN5
ENSG00000188917	TRMT2B
ENSG00000241343	RPL36A
ENSG00000166432	ZMAT1
ENSG00000133134	BEX2
ENSG00000166681	NGFRAP1
ENSG00000176274	SLC25A53
ENSG00000089682	RBM41
ENSG00000157514	TSC22D3
ENSG00000101935	AMMECR1
ENSG00000125354	SEPT6
ENSG00000198918	RPL39
ENSG00000183918	SH2D1A
ENSG00000134594	RAB33A
ENSG00000134602	MST4
ENSG00000223749	MIR503HG
ENSG00000156500	FAM122C
ENSG00000165359	DDX26B
ENSG00000129680	MAP7D3
ENSG00000102245	CD40LG
ENSG00000232611	RP11-1114A5.4
ENSG00000241769	LINC00893
ENSG00000155984	TMEM185A
ENSG00000063601	MTMR1
ENSG00000063587	ZNF275
ENSG00000177854	TMEM187
ENSG00000147403	RPL10
ENSG00000160219	GAB3
ENSG00000104728	ARHGEF10
ENSG00000091879	ANGPT2
ENSG00000182319	SGK223
ENSG00000147324	MFHAS1
ENSG00000173281	PPP1R3B
ENSG00000173273	TNKS
ENSG00000154328	NEIL2
ENSG00000164733	CTSB
ENSG00000038945	MSR1
ENSG00000147408	CSGALNACT1
ENSG00000175445	LPL
ENSG00000158863	FAM160B2
ENSG00000120910	PPP3CC
ENSG00000179388	EGR3
ENSG00000104689	TNFRSF10A
ENSG00000147457	CHMP7
ENSG00000147454	SLC25A37
ENSG00000042980	ADAM28
ENSG00000134028	ADAMDEC1
ENSG00000120899	PTK2B
ENSG00000120915	EPHX2
ENSG00000120885	CLU
ENSG00000186918	ZNF395
ENSG00000120875	DUSP4
ENSG00000272256	RP11-489E7.4
ENSG00000271869	RP11-51J9.5
ENSG00000165392	WRN
ENSG00000085788	DDHD2
ENSG00000253645	CTD-2544N14.3
ENSG00000131203	IDO1
ENSG00000070718	AP3M2
ENSG00000168575	SLC20A2
ENSG00000221869	CEBPD
ENSG00000232941	AC090186.1
ENSG00000228801	RP11-110G21.1
ENSG00000137575	SDCBP
ENSG00000171316	CHD7
ENSG00000205268	PDE7A
ENSG00000185697	MYBL1
ENSG00000213865	C8orf44
ENSG00000147604	RPL7
ENSG00000171033	PKIA
ENSG00000076554	TPD52
ENSG00000164687	FABP5
ENSG00000104231	ZFAND1
ENSG00000104267	CA2
ENSG00000180694	TMEM64
ENSG00000214954	LRRC69
ENSG00000169439	SDC2
ENSG00000156482	RPL30
ENSG00000253948	RP11-410L14.2
ENSG00000034677	RNF19A
ENSG00000186106	ANKRD46
ENSG00000070756	PABPC1
ENSG00000246263	KB-431C1.4
ENSG00000136960	ENPP2
ENSG00000178764	ZHX2
ENSG00000156802	ATAD2
ENSG00000156804	FBXO32
ENSG00000170873	MTSS1
ENSG00000245164	LINC00861
ENSG00000136997	MYC
ENSG00000165071	TMEM71
ENSG00000259758	CASC7
ENSG00000123908	AGO2
ENSG00000169398	PTK2
ENSG00000105339	DENND3
ENSG00000160932	LY6E
ENSG00000250571	GLI4
ENSG00000253716	RP13-582O9.5
ENSG00000183309	ZNF623
ENSG00000185189	NRBP2
ENSG00000161016	RPL8
ENSG00000196150	ZNF250
ENSG00000170631	ZNF16
ENSG00000080298	RFX3
ENSG00000205808	PPAPDC2
ENSG00000106993	CDC37L1
ENSG00000183354	KIAA2026
ENSG00000147854	UHRF2
ENSG00000215066	C9orf38
ENSG00000107077	KDM4C
ENSG00000164985	PSIP1
ENSG00000137154	RPS6
ENSG00000171843	MLLT3
ENSG00000107201	DDX58
ENSG00000235453	TOPORS-AS1
ENSG00000165272	AQP3
ENSG00000213930	GALT
ENSG00000137101	CD72
ENSG00000137078	SIT1
ENSG00000107185	RGP1
ENSG00000122707	RECK
ENSG00000233137	RP11-220I1.1
ENSG00000147905	ZCCHC7
ENSG00000137054	POLR1E
ENSG00000165275	TRMT10B
ENSG00000269337	AL591479.1
ENSG00000196873	CBWD3
ENSG00000135048	TMEM2
ENSG00000165092	ALDH1A1
ENSG00000135046	ANXA1
ENSG00000106733	NMRK1
ENSG00000099139	PCSK5
ENSG00000197969	VPS13A
ENSG00000148019	CEP78
ENSG00000165113	GKAP1
ENSG00000135047	CTSL
ENSG00000187764	SEMA4D
ENSG00000127084	FGD3
ENSG00000157303	SUSD3
ENSG00000131669	NINJ1
ENSG00000269929	RP11-2B6.2
ENSG00000175787	ZNF169
ENSG00000165140	FBP1
ENSG00000130956	HABP4
ENSG00000081386	ZNF510
ENSG00000136932	C9orf156
ENSG00000106789	CORO2A
ENSG00000106803	SEC61B
ENSG00000119508	NR4A3
ENSG00000119509	INVS
ENSG00000106771	TMEM245
ENSG00000136810	TXN
ENSG00000119431	HDHD3
ENSG00000138835	RGS3
ENSG00000106948	AKNA
ENSG00000226752	PSMD5-AS1
ENSG00000056558	TRAF1
ENSG00000148180	GSN
ENSG00000165209	STRBP
ENSG00000136950	ARPC5L
ENSG00000173611	SCAI
ENSG00000197958	RPL12
ENSG00000095370	SH2D3C
ENSG00000106992	AK1
ENSG00000167106	FAM102A
ENSG00000119333	WDR34
ENSG00000148343	FAM73B
ENSG00000136878	USP20
ENSG00000246851	RP11-544A12.8
ENSG00000130723	PRRC2B
ENSG00000165695	AK8
ENSG00000160271	RALGDS
ENSG00000148303	RPL7A
ENSG00000160326	SLC2A6
ENSG00000235106	LINC00094
ENSG00000085265	FCN1
ENSG00000130558	OLFM1
ENSG00000165684	SNAPC4
ENSG00000233016	SNHG7
ENSG00000148362	C9orf142
ENSG00000169583	CLIC3
ENSG00000107331	ABCA2
ENSG00000187609	EXD3
ENSG00000203993	C9orf37
ENSG00000015171	ZMYND11
ENSG00000196139	AKR1C3
ENSG00000134460	IL2RA
ENSG00000170525	PFKFB3
ENSG00000065675	PRKCQ
ENSG00000237943	PRKCQ-AS1
ENSG00000107485	GATA3
ENSG00000123240	OPTN
ENSG00000239665	RP11-295P9.3
ENSG00000152465	NMT2
ENSG00000107614	TRDMT1
ENSG00000229124	VIM-AS1
ENSG00000026025	VIM
ENSG00000241058	NSUN6
ENSG00000168283	BMI1
ENSG00000107890	ANKRD26
ENSG00000150054	MPP7
ENSG00000148516	ZEB1
ENSG00000216937	CCDC7
ENSG00000095794	CREM
ENSG00000198105	ZNF248
ENSG00000189180	ZNF33A
ENSG00000075407	ZNF37A
ENSG00000196693	ZNF33B
ENSG00000243660	ZNF487
ENSG00000165406	MARCH8
ENSG00000172671	ZFAND4
ENSG00000204161	C10orf128
ENSG00000151150	ANK3
ENSG00000150347	ARID5B
ENSG00000182010	RTKN2
ENSG00000122877	EGR2
ENSG00000204130	RUFY2
ENSG00000122862	SRGN
ENSG00000180817	PPA1
ENSG00000180644	PRF1
ENSG00000197746	PSAP
ENSG00000107742	SPOCK2
ENSG00000168209	DDIT4
ENSG00000213551	DNAJC9
ENSG00000148660	CAMK2G
ENSG00000156650	KAT6B
ENSG00000156113	KCNMA1
ENSG00000253626	EIF5AL1
ENSG00000226381	RP11-119F19.2
ENSG00000225484	RP11-773D16.1
ENSG00000272447	RP11-182L21.6
ENSG00000107771	CCSER2
ENSG00000152766	ANKRD22
ENSG00000138134	STAMBPL1
ENSG00000107796	ACTA2
ENSG00000026103	FAS
ENSG00000107798	LIPA
ENSG00000119922	IFIT2
ENSG00000119917	IFIT3
ENSG00000185745	IFIT1
ENSG00000138182	KIF20B
ENSG00000174721	FGFBP3
ENSG00000138193	PLCE1
ENSG00000119969	HELLS
ENSG00000107438	PDLIM1
ENSG00000059573	ALDH18A1
ENSG00000226688	ENTPD1-AS1
ENSG00000095585	BLNK
ENSG00000075826	SEC31B
ENSG00000107829	FBXW4
ENSG00000272933	RP11-47A8.5
ENSG00000156398	SFXN2
ENSG00000107960	OBFC1
ENSG00000148700	ADD3
ENSG00000138166	DUSP5
ENSG00000203497	PDCD4-AS1
ENSG00000150593	PDCD4
ENSG00000165813	C10orf118
ENSG00000099204	ABLIM1
ENSG00000151553	FAM160B1
ENSG00000198873	GRK5
ENSG00000107679	PLEKHA1
ENSG00000213185	FAM24B
ENSG00000095574	IKZF5
ENSG00000196177	ACADSB
ENSG00000107902	LHPP
ENSG00000189319	FAM53B
ENSG00000132334	PTPRE
ENSG00000176171	BNIP3
ENSG00000151651	ADAM8
ENSG00000142082	SIRT3
ENSG00000142102	ATHL1
ENSG00000185201	IFITM2
ENSG00000185885	IFITM1
ENSG00000142089	IFITM3
ENSG00000099849	RASSF7
ENSG00000185507	IRF7
ENSG00000177106	EPS8L2
ENSG00000177156	TALDO1
ENSG00000255284	AP006621.5
ENSG00000177595	PIDD
ENSG00000177600	RPLP2
ENSG00000244242	IFITM10
ENSG00000117984	CTSD
ENSG00000269821	KCNQ1OT1
ENSG00000129757	CDKN1C
ENSG00000181649	PHLDA2
ENSG00000167333	TRIM68
ENSG00000244734	HBB
ENSG00000132274	TRIM22
ENSG00000166313	APBB1
ENSG00000166405	RIC3
ENSG00000166436	TRIM66
ENSG00000166441	RPL27A
ENSG00000148926	ADM
ENSG00000255823	MTRNR2L8
ENSG00000133816	MICAL2
ENSG00000133818	RRAS2
ENSG00000152270	PDE3B
ENSG00000186104	CYP2R1
ENSG00000110700	RPS13
ENSG00000070081	NUCB2
ENSG00000177054	ZDHHC13
ENSG00000183161	FANCF
ENSG00000198168	SVIP
ENSG00000109881	CCDC34
ENSG00000170946	DNAJC24
ENSG00000148950	IMMP1L
ENSG00000110429	FBXO3
ENSG00000026508	CD44
ENSG00000110436	SLC1A2
ENSG00000135362	PRR5L
ENSG00000085117	CD82
ENSG00000175213	ZNF408
ENSG00000149150	SLC43A1
ENSG00000149131	SERPING1
ENSG00000197629	MPEG1
ENSG00000110077	MS4A6A
ENSG00000110079	MS4A4A
ENSG00000166927	MS4A7
ENSG00000156738	MS4A1
ENSG00000013725	CD6
ENSG00000110448	CD5
ENSG00000187049	TMEM216
ENSG00000167996	FTH1
ENSG00000254772	EEF1G
ENSG00000149016	TUT1
ENSG00000149499	EML3
ENSG00000214756	METTL12
ENSG00000133316	WDR74
ENSG00000133321	RARRES3
ENSG00000176485	PLA2G16
ENSG00000110583	NAA40
ENSG00000149743	TRPT1
ENSG00000173457	PPP1R14B
ENSG00000256940	RP11-783K16.5
ENSG00000168071	CCDC88B
ENSG00000068831	RASGRP2
ENSG00000168067	MAP4K2
ENSG00000110047	EHD1
ENSG00000168060	NAALADL1
ENSG00000149809	TM7SF2
ENSG00000174276	ZNHIT2
ENSG00000149792	MRPL49
ENSG00000162241	SLC25A45
ENSG00000245532	NEAT1
ENSG00000251562	MALAT1
ENSG00000172543	CTSW
ENSG00000175315	CST6
ENSG00000175115	PACS1
ENSG00000255517	CTD-3074O7.5
ENSG00000174080	CTSF
ENSG00000173933	RBM4
ENSG00000173914	RBM4B
ENSG00000258297	RP11-658F2.8
ENSG00000172613	RAD9A
ENSG00000175463	TBC1D10C
ENSG00000213402	PTPRCAP
ENSG00000110092	CCND1
ENSG00000149716	ORAOV1
ENSG00000172893	DHCR7
ENSG00000254682	RP11-660L16.2
ENSG00000254469	RP11-849H4.2
ENSG00000110203	FOLR3
ENSG00000214530	STARD10
ENSG00000021300	PLEKHB1
ENSG00000175575	PAAF1
ENSG00000168014	C2CD3
ENSG00000165434	PGM2L1
ENSG00000166435	XRRA1
ENSG00000149273	RPS3
ENSG00000255135	RP11-111M22.3
ENSG00000137502	RAB30
ENSG00000137504	CREBZF
ENSG00000166004	KIAA1731
ENSG00000042429	MED17
ENSG00000168876	ANKRD49
ENSG00000149218	ENDOD1
ENSG00000149212	SESN3
ENSG00000077458	FAM76B
ENSG00000023445	BIRC3
ENSG00000137673	MMP7
ENSG00000182359	KBTBD3
ENSG00000261098	RP11-819C21.1
ENSG00000152404	CWF19L2
ENSG00000149308	NPAT
ENSG00000149311	ATM
ENSG00000137710	RDX
ENSG00000137720	C11orf1
ENSG00000149294	NCAM1
ENSG00000149292	TTC12
ENSG00000048028	USP28
ENSG00000160613	PCSK7
ENSG00000137726	FXYD6
ENSG00000160593	AMICA1
ENSG00000160588	MPZL3
ENSG00000198851	CD3E
ENSG00000167286	CD3D
ENSG00000160654	CD3G
ENSG00000118058	KMT2A
ENSG00000110367	DDX6
ENSG00000186174	BCL9L
ENSG00000186166	CCDC84
ENSG00000118181	RPS25
ENSG00000188486	H2AFX
ENSG00000172273	HINFP
ENSG00000196914	ARHGEF12
ENSG00000109929	SC5D
ENSG00000137642	SORL1
ENSG00000109943	CRTAM
ENSG00000154146	NRGN
ENSG00000198331	HYLS1
ENSG00000134954	ETS1
ENSG00000151715	TMEM45B
ENSG00000084234	APLP2
ENSG00000196323	ZBTB44
ENSG00000151065	DCP1B
ENSG00000111203	ITFG2
ENSG00000078246	TULP3
ENSG00000130038	EFCAB4B
ENSG00000256862	RP11-664D1.1
ENSG00000118971	CCND2
ENSG00000010278	CD9
ENSG00000139193	CD27
ENSG00000139190	VAMP1
ENSG00000111640	GAPDH
ENSG00000089692	LAG3
ENSG00000111671	SPSB2
ENSG00000111674	ENO2
ENSG00000111678	C12orf57
ENSG00000139178	C1RL
ENSG00000177575	CD163
ENSG00000166523	CLEC4E
ENSG00000166532	RIMKLB
ENSG00000111752	PHC1
ENSG00000139187	KLRG1
ENSG00000245105	A2M-AS1
ENSG00000175899	A2M
ENSG00000111796	KLRB1
ENSG00000069493	CLEC2D
ENSG00000184293	CLECL1
ENSG00000110848	CD69
ENSG00000150045	KLRF1
ENSG00000110852	CLEC2B
ENSG00000172243	CLEC7A
ENSG00000173391	OLR1
ENSG00000134539	KLRD1
ENSG00000134545	KLRC1
ENSG00000111215	PRR4
ENSG00000111276	CDKN1B
ENSG00000178878	APOLD1
ENSG00000134531	EMP1
ENSG00000171681	ATF7IP
ENSG00000008394	MGST1
ENSG00000052126	PLEKHA5
ENSG00000111716	LDHB
ENSG00000118308	LRMP
ENSG00000123095	BHLHE41
ENSG00000110888	CAPRIN2
ENSG00000013573	DDX11
ENSG00000151743	AMN1
ENSG00000174718	KIAA1551
ENSG00000151746	BICD1
ENSG00000139116	KIF21A
ENSG00000257742	RP11-350F4.2
ENSG00000184613	NELL2
ENSG00000273015	LINC00938
ENSG00000111371	SLC38A1
ENSG00000139211	AMIGO2
ENSG00000179715	PCED1B
ENSG00000061273	HDAC7
ENSG00000134291	TMEM106C
ENSG00000134285	FKBP11
ENSG00000123416	TUBA1B
ENSG00000167552	TUBA1A
ENSG00000186666	BCDIN3D
ENSG00000050426	LETMD1
ENSG00000110925	CSRNP2
ENSG00000170545	SMAGP
ENSG00000161835	GRASP
ENSG00000123358	NR4A1
ENSG00000012822	CALCOCO1
ENSG00000135486	HNRNPA1
ENSG00000135426	TESPA1
ENSG00000135437	RDH5
ENSG00000135404	CD63
ENSG00000205323	SARNP
ENSG00000065357	DGKA
ENSG00000123411	IKZF4
ENSG00000197728	RPS26
ENSG00000229117	RPL41
ENSG00000139645	ANKRD52
ENSG00000135469	COQ10A
ENSG00000257303	RP11-977G19.11
ENSG00000110944	IL23A
ENSG00000182379	NXPH4
ENSG00000123329	ARHGAP9
ENSG00000135439	AGAP2
ENSG00000139266	MARCH9
ENSG00000257698	RP11-620J15.3
ENSG00000118596	SLC16A7
ENSG00000127311	HELB
ENSG00000090382	LYZ
ENSG00000257764	RP11-1143G9.4
ENSG00000127328	RAB3IP
ENSG00000257815	RP11-611E13.2
ENSG00000173451	THAP2
ENSG00000139289	PHLDA1
ENSG00000133641	C12orf29
ENSG00000198707	CEP290
ENSG00000139324	TMTC3
ENSG00000139318	DUSP6
ENSG00000271614	LINC00936
ENSG00000133639	BTG1
ENSG00000245904	RP11-796E2.4
ENSG00000120833	SOCS2
ENSG00000169372	CRADD
ENSG00000120798	NR2C1
ENSG00000111145	ELK3
ENSG00000059758	CDK17
ENSG00000204954	C12orf73
ENSG00000255150	EID3
ENSG00000136044	APPL2
ENSG00000235162	C12orf75
ENSG00000166046	TCP11L2
ENSG00000111785	RIC8B
ENSG00000151135	C12orf23
ENSG00000120832	MTERFD3
ENSG00000110876	SELPLG
ENSG00000189046	ALKBH2
ENSG00000076248	UNG
ENSG00000076555	ACACB
ENSG00000204856	FAM216A
ENSG00000204852	TCTN1
ENSG00000111275	ALDH2
ENSG00000198270	TMEM116
ENSG00000111335	OAS2
ENSG00000135094	SDS
ENSG00000135108	FBXO21
ENSG00000135127	CCDC64
ENSG00000089157	RPLP0
ENSG00000255857	PXN-AS1
ENSG00000135114	OASL
ENSG00000188735	TMEM120B
ENSG00000139725	RHOF
ENSG00000212694	AC084018.1
ENSG00000139718	SETD1B
ENSG00000110987	BCL7A
ENSG00000184047	DIABLO
ENSG00000182782	HCAR2
ENSG00000255398	HCAR3
ENSG00000130787	HIP1R
ENSG00000139722	VPS37B
ENSG00000051825	MPHOSPH9
ENSG00000130921	C12orf65
ENSG00000256092	hsa-mir-8072
ENSG00000185684	EP400NL
ENSG00000256576	RP13-977J11.2
ENSG00000196458	ZNF605
ENSG00000196387	ZNF140
ENSG00000214029	ZNF891
ENSG00000132950	ZMYM5
ENSG00000165474	GJB2
ENSG00000032742	IFT88
ENSG00000132953	XPO4
ENSG00000151835	SACS
ENSG00000182957	SPATA13
ENSG00000122026	RPL21
ENSG00000139517	LNX2
ENSG00000180389	ATP5EP2
ENSG00000132965	ALOX5AP
ENSG00000187676	B3GALTL
ENSG00000133111	RFXAP
ENSG00000150907	FOXO1
ENSG00000165572	KBTBD6
ENSG00000120696	KBTBD7
ENSG00000172766	NAA16
ENSG00000102760	RGCC
ENSG00000133106	EPSTI1
ENSG00000102804	TSC22D1
ENSG00000133112	TPT1
ENSG00000170919	TPT1-AS1
ENSG00000102445	KIAA0226L
ENSG00000102543	CDADC1
ENSG00000176124	DLEU1
ENSG00000102786	INTS6
ENSG00000236778	INTS6-AS1
ENSG00000253710	ALG11
ENSG00000136108	CKAP2
ENSG00000139675	HNRNPA1L2
ENSG00000118922	KLF12
ENSG00000136111	TBC1D4
ENSG00000136153	LMO7
ENSG00000102471	NDFIP2
ENSG00000247400	DNAJC3-AS1
ENSG00000088387	DOCK9
ENSG00000125245	GPR18
ENSG00000169508	GPR183
ENSG00000134897	BIVM
ENSG00000102524	TNFSF13B
ENSG00000153487	ING1
ENSG00000126226	PCID2
ENSG00000185989	RASA3
ENSG00000100814	CCNB1IP1
ENSG00000259001	RPPH1
ENSG00000169413	RNASE6
ENSG00000129538	RNASE1
ENSG00000165792	METTL17
ENSG00000165795	NDRG2
ENSG00000157227	MMP14
ENSG00000235194	PPP1R3E
ENSG00000157306	RP11-66N24.4
ENSG00000213983	AP1G2
ENSG00000100911	PSME2
ENSG00000213928	IRF9
ENSG00000100918	REC8
ENSG00000157379	DHRS1
ENSG00000136305	CIDEB
ENSG00000100445	SDR39U1
ENSG00000100450	GZMH
ENSG00000100453	GZMB
ENSG00000100473	COCH
ENSG00000100852	ARHGAP5
ENSG00000100906	NFKBIA
ENSG00000174373	RALGAPA1
ENSG00000179476	C14orf28
ENSG00000179454	KLHL28
ENSG00000185246	PRPF39
ENSG00000213741	RPS29
ENSG00000258486	RN7SL1
ENSG00000165506	DNAAF2
ENSG00000100483	VCPKMT
ENSG00000186469	GNG2
ENSG00000100523	DDHD1
ENSG00000131979	GCH1
ENSG00000131981	LGALS3
ENSG00000178974	FBXO34
ENSG00000126775	ATG14
ENSG00000100578	KIAA0586
ENSG00000100592	DAAM1
ENSG00000126790	L3HYPDH
ENSG00000020426	MNAT1
ENSG00000027075	PRKCH
ENSG00000100644	HIF1A
ENSG00000023608	SNAPC1
ENSG00000140006	WDR89
ENSG00000054654	SYNE2
ENSG00000140009	ESR2
ENSG00000089775	ZBTB25
ENSG00000179841	AKAP5
ENSG00000033170	FUT8
ENSG00000182185	RAD51B
ENSG00000185650	ZFP36L1
ENSG00000133985	TTC9
ENSG00000197555	SIPA1L1
ENSG00000119599	DCAF4
ENSG00000119673	ACOT2
ENSG00000119723	COQ6
ENSG00000205659	LIN52
ENSG00000119655	NPC2
ENSG00000119684	MLH3
ENSG00000119640	ACYP1
ENSG00000170345	FOS
ENSG00000156127	BATF
ENSG00000133935	C14orf1
ENSG00000100629	CEP128
ENSG00000100784	RPS6KA5
ENSG00000015133	CCDC88C
ENSG00000165929	TC2N
ENSG00000140092	FBLN5
ENSG00000100600	LGMN
ENSG00000165943	MOAP1
ENSG00000165949	IFI27
ENSG00000197249	SERPINA1
ENSG00000176438	SYNE3
ENSG00000247092	SNHG10
ENSG00000100721	TCL1A
ENSG00000246223	C14orf64
ENSG00000127152	BCL11B
ENSG00000196405	EVL
ENSG00000140105	WARS
ENSG00000078304	PPP2R5C
ENSG00000080824	HSP90AA1
ENSG00000022976	ZNF839
ENSG00000185215	TNFAIP2
ENSG00000246451	RP11-894P9.1
ENSG00000088808	PPP1R13B
ENSG00000166428	PLD4
ENSG00000170779	CDCA4
ENSG00000185024	BRF1
ENSG00000213145	CRIP1
ENSG00000184986	TMEM121
ENSG00000206190	ATP10A
ENSG00000034053	APBA2
ENSG00000187951	ARHGAP11B
ENSG00000198690	FAN1
ENSG00000261064	RP11-1000B6.3
ENSG00000176454	LPCAT4
ENSG00000175265	GOLGA8A
ENSG00000215252	GOLGA8B
ENSG00000259225	RP11-1008C21.1
ENSG00000172575	RASGRP1
ENSG00000137801	THBS1
ENSG00000104081	BMF
ENSG00000166133	RPUSD2
ENSG00000137880	GCHFR
ENSG00000166947	EPB42
ENSG00000168803	ADAL
ENSG00000137822	TUBGCP4
ENSG00000092470	WDR76
ENSG00000179523	EIF3J-AS1
ENSG00000229474	PATL2
ENSG00000166920	C15orf48
ENSG00000069966	GNB5
ENSG00000047346	FAM214A
ENSG00000069974	RAB27A
ENSG00000069943	PIGB
ENSG00000181827	RFX7
ENSG00000247982	LINC00926
ENSG00000182718	ANXA2
ENSG00000128915	NARG2
ENSG00000069667	RORA
ENSG00000074410	CA12
ENSG00000261351	CTD-3185P2.1
ENSG00000166949	SMAD3
ENSG00000137818	RPLP1
ENSG00000140332	TLE3
ENSG00000247240	UBL7-AS1
ENSG00000179361	ARID3B
ENSG00000179335	CLK3
ENSG00000140386	SCAPER
ENSG00000103811	CTSH
ENSG00000140379	BCL2A1
ENSG00000172349	IL16
ENSG00000172345	STARD5
ENSG00000250988	RP11-752G15.6
ENSG00000156232	WHAMM
ENSG00000166503	HDGFRP3
ENSG00000177082	WDR73
ENSG00000197696	NMB
ENSG00000181026	AEN
ENSG00000172183	ISG20
ENSG00000140511	HAPLN3
ENSG00000197299	BLM
ENSG00000140563	MCTP2
ENSG00000140443	IGF1R
ENSG00000259590	RP11-20G13.3
ENSG00000140471	LINS
ENSG00000185418	TARSL2
ENSG00000188536	HBA2
ENSG00000206172	HBA1
ENSG00000007392	LUC7L
ENSG00000103253	HAGHL
ENSG00000059145	UNKL
ENSG00000131634	TMEM204
ENSG00000138834	MAPK8IP3
ENSG00000162032	SPSB3
ENSG00000140988	RPS2
ENSG00000255198	SNHG9
ENSG00000103197	TSC2
ENSG00000008710	PKD1
ENSG00000260260	RP11-304L19.5
